#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-372790	Signaling by GPCR	57	697	1.35	5.57	2.63e-64	9606.ENSP00000078429,9606.ENSP00000216629,9606.ENSP00000217386,9606.ENSP00000225831,9606.ENSP00000240874,9606.ENSP00000255380,9606.ENSP00000258400,9606.ENSP00000260402,9606.ENSP00000262958,9606.ENSP00000267017,9606.ENSP00000273610,9606.ENSP00000276571,9606.ENSP00000282018,9606.ENSP00000286548,9606.ENSP00000292513,9606.ENSP00000299178,9606.ENSP00000300873,9606.ENSP00000302846,9606.ENSP00000306138,9606.ENSP00000306662,9606.ENSP00000321106,9606.ENSP00000324270,9606.ENSP00000334448,9606.ENSP00000335560,9606.ENSP00000338185,9606.ENSP00000347197,9606.ENSP00000354652,9606.ENSP00000355316,9606.ENSP00000355627,9606.ENSP00000356094,9606.ENSP00000359793,9606.ENSP00000360021,9606.ENSP00000360141,9606.ENSP00000362401,9606.ENSP00000362403,9606.ENSP00000363411,9606.ENSP00000365807,9606.ENSP00000366061,9606.ENSP00000368683,9606.ENSP00000368766,9606.ENSP00000369647,9606.ENSP00000369960,9606.ENSP00000376609,9606.ENSP00000377353,9606.ENSP00000380247,9606.ENSP00000381105,9606.ENSP00000384092,9606.ENSP00000393333,9606.ENSP00000398629,9606.ENSP00000398832,9606.ENSP00000423917,9606.ENSP00000437737,9606.ENSP00000440185,9606.ENSP00000443631,9606.ENSP00000445772,9606.ENSP00000450482,9606.ENSP00000485512	GNA11,BDKRB1,OXT,CCL2,KALRN,CHRM3,HTR2B,PLCB2,GNA15,NPFF,UCN2,CRH,CYSLTR2,GNAQ,PTGER1,AVPR1A,GNG8,PTGER4,GRM5,ADRA1B,TAC1,OXTR,GNG2,ARHGEF25,PLCB1,C5AR1,NPY1R,GRM3,AGT,AVPR1B,PTGFR,GNG12,GNAS,CYSLTR1,TACR2,GNG10,GNA14,NMS,EDN1,ADRA1D,AVP,ADRA1A,GRK5,DRD1,HRH1,NPS,POMC,TBXA2R,GNG4,AGTR1,NPY5R,HTR2A,PDYN,PLCB3,LTB4R2,BDKRB2,QRFP
HSA-416476	G alpha (q) signalling events	45	217	1.75	10.0	2.63e-64	9606.ENSP00000078429,9606.ENSP00000216629,9606.ENSP00000217386,9606.ENSP00000240874,9606.ENSP00000255380,9606.ENSP00000258400,9606.ENSP00000260402,9606.ENSP00000262958,9606.ENSP00000267017,9606.ENSP00000282018,9606.ENSP00000286548,9606.ENSP00000292513,9606.ENSP00000299178,9606.ENSP00000300873,9606.ENSP00000306138,9606.ENSP00000306662,9606.ENSP00000321106,9606.ENSP00000324270,9606.ENSP00000334448,9606.ENSP00000335560,9606.ENSP00000338185,9606.ENSP00000355627,9606.ENSP00000356094,9606.ENSP00000359793,9606.ENSP00000360021,9606.ENSP00000362401,9606.ENSP00000362403,9606.ENSP00000363411,9606.ENSP00000365807,9606.ENSP00000366061,9606.ENSP00000368683,9606.ENSP00000368766,9606.ENSP00000369647,9606.ENSP00000369960,9606.ENSP00000376609,9606.ENSP00000380247,9606.ENSP00000381105,9606.ENSP00000393333,9606.ENSP00000398629,9606.ENSP00000398832,9606.ENSP00000437737,9606.ENSP00000443631,9606.ENSP00000445772,9606.ENSP00000450482,9606.ENSP00000485512	GNA11,BDKRB1,OXT,KALRN,CHRM3,HTR2B,PLCB2,GNA15,NPFF,CYSLTR2,GNAQ,PTGER1,AVPR1A,GNG8,GRM5,ADRA1B,TAC1,OXTR,GNG2,ARHGEF25,PLCB1,AGT,AVPR1B,PTGFR,GNG12,CYSLTR1,TACR2,GNG10,GNA14,NMS,EDN1,ADRA1D,AVP,ADRA1A,GRK5,HRH1,NPS,TBXA2R,GNG4,AGTR1,HTR2A,PLCB3,LTB4R2,BDKRB2,QRFP
HSA-388396	GPCR downstream signalling	55	624	1.38	5.86	2.03e-63	9606.ENSP00000078429,9606.ENSP00000216629,9606.ENSP00000217386,9606.ENSP00000240874,9606.ENSP00000255380,9606.ENSP00000258400,9606.ENSP00000260402,9606.ENSP00000262958,9606.ENSP00000267017,9606.ENSP00000276571,9606.ENSP00000282018,9606.ENSP00000286548,9606.ENSP00000292513,9606.ENSP00000299178,9606.ENSP00000300873,9606.ENSP00000302846,9606.ENSP00000306138,9606.ENSP00000306662,9606.ENSP00000321106,9606.ENSP00000324270,9606.ENSP00000334448,9606.ENSP00000335560,9606.ENSP00000338185,9606.ENSP00000347197,9606.ENSP00000354652,9606.ENSP00000355316,9606.ENSP00000355627,9606.ENSP00000356094,9606.ENSP00000359793,9606.ENSP00000360021,9606.ENSP00000360141,9606.ENSP00000362401,9606.ENSP00000362403,9606.ENSP00000363411,9606.ENSP00000365807,9606.ENSP00000366061,9606.ENSP00000368683,9606.ENSP00000368766,9606.ENSP00000369647,9606.ENSP00000369960,9606.ENSP00000376609,9606.ENSP00000377353,9606.ENSP00000380247,9606.ENSP00000381105,9606.ENSP00000384092,9606.ENSP00000393333,9606.ENSP00000398629,9606.ENSP00000398832,9606.ENSP00000423917,9606.ENSP00000437737,9606.ENSP00000440185,9606.ENSP00000443631,9606.ENSP00000445772,9606.ENSP00000450482,9606.ENSP00000485512	GNA11,BDKRB1,OXT,KALRN,CHRM3,HTR2B,PLCB2,GNA15,NPFF,CRH,CYSLTR2,GNAQ,PTGER1,AVPR1A,GNG8,PTGER4,GRM5,ADRA1B,TAC1,OXTR,GNG2,ARHGEF25,PLCB1,C5AR1,NPY1R,GRM3,AGT,AVPR1B,PTGFR,GNG12,GNAS,CYSLTR1,TACR2,GNG10,GNA14,NMS,EDN1,ADRA1D,AVP,ADRA1A,GRK5,DRD1,HRH1,NPS,POMC,TBXA2R,GNG4,AGTR1,NPY5R,HTR2A,PDYN,PLCB3,LTB4R2,BDKRB2,QRFP
HSA-500792	GPCR ligand binding	47	459	1.45	6.19	8.66e-55	9606.ENSP00000216629,9606.ENSP00000217386,9606.ENSP00000225831,9606.ENSP00000255380,9606.ENSP00000258400,9606.ENSP00000267017,9606.ENSP00000273610,9606.ENSP00000276571,9606.ENSP00000282018,9606.ENSP00000292513,9606.ENSP00000299178,9606.ENSP00000300873,9606.ENSP00000302846,9606.ENSP00000306138,9606.ENSP00000306662,9606.ENSP00000321106,9606.ENSP00000324270,9606.ENSP00000334448,9606.ENSP00000347197,9606.ENSP00000354652,9606.ENSP00000355316,9606.ENSP00000355627,9606.ENSP00000356094,9606.ENSP00000359793,9606.ENSP00000360021,9606.ENSP00000360141,9606.ENSP00000362401,9606.ENSP00000362403,9606.ENSP00000363411,9606.ENSP00000366061,9606.ENSP00000368683,9606.ENSP00000368766,9606.ENSP00000369647,9606.ENSP00000369960,9606.ENSP00000377353,9606.ENSP00000380247,9606.ENSP00000381105,9606.ENSP00000384092,9606.ENSP00000393333,9606.ENSP00000398629,9606.ENSP00000398832,9606.ENSP00000423917,9606.ENSP00000437737,9606.ENSP00000440185,9606.ENSP00000445772,9606.ENSP00000450482,9606.ENSP00000485512	BDKRB1,OXT,CCL2,CHRM3,HTR2B,NPFF,UCN2,CRH,CYSLTR2,PTGER1,AVPR1A,GNG8,PTGER4,GRM5,ADRA1B,TAC1,OXTR,GNG2,C5AR1,NPY1R,GRM3,AGT,AVPR1B,PTGFR,GNG12,GNAS,CYSLTR1,TACR2,GNG10,NMS,EDN1,ADRA1D,AVP,ADRA1A,DRD1,HRH1,NPS,POMC,TBXA2R,GNG4,AGTR1,NPY5R,HTR2A,PDYN,LTB4R2,BDKRB2,QRFP
HSA-373076	Class A/1 (Rhodopsin-like receptors)	37	326	1.49	5.97	1.00e-42	9606.ENSP00000216629,9606.ENSP00000217386,9606.ENSP00000225831,9606.ENSP00000255380,9606.ENSP00000258400,9606.ENSP00000267017,9606.ENSP00000282018,9606.ENSP00000292513,9606.ENSP00000299178,9606.ENSP00000302846,9606.ENSP00000306662,9606.ENSP00000321106,9606.ENSP00000324270,9606.ENSP00000347197,9606.ENSP00000354652,9606.ENSP00000355627,9606.ENSP00000356094,9606.ENSP00000359793,9606.ENSP00000362401,9606.ENSP00000362403,9606.ENSP00000366061,9606.ENSP00000368683,9606.ENSP00000368766,9606.ENSP00000369647,9606.ENSP00000369960,9606.ENSP00000377353,9606.ENSP00000380247,9606.ENSP00000381105,9606.ENSP00000384092,9606.ENSP00000393333,9606.ENSP00000398832,9606.ENSP00000423917,9606.ENSP00000437737,9606.ENSP00000440185,9606.ENSP00000445772,9606.ENSP00000450482,9606.ENSP00000485512	BDKRB1,OXT,CCL2,CHRM3,HTR2B,NPFF,CYSLTR2,PTGER1,AVPR1A,PTGER4,ADRA1B,TAC1,OXTR,C5AR1,NPY1R,AGT,AVPR1B,PTGFR,CYSLTR1,TACR2,NMS,EDN1,ADRA1D,AVP,ADRA1A,DRD1,HRH1,NPS,POMC,TBXA2R,AGTR1,NPY5R,HTR2A,PDYN,LTB4R2,BDKRB2,QRFP
HSA-162582	Signal Transduction	61	2540	0.82	1.91	2.58e-40	9606.ENSP00000078429,9606.ENSP00000216629,9606.ENSP00000217386,9606.ENSP00000225831,9606.ENSP00000240874,9606.ENSP00000255380,9606.ENSP00000258400,9606.ENSP00000260356,9606.ENSP00000260402,9606.ENSP00000262958,9606.ENSP00000267017,9606.ENSP00000273610,9606.ENSP00000276571,9606.ENSP00000282018,9606.ENSP00000286548,9606.ENSP00000292513,9606.ENSP00000299178,9606.ENSP00000300873,9606.ENSP00000302846,9606.ENSP00000306138,9606.ENSP00000306662,9606.ENSP00000314807,9606.ENSP00000321106,9606.ENSP00000324270,9606.ENSP00000334448,9606.ENSP00000335560,9606.ENSP00000338185,9606.ENSP00000347197,9606.ENSP00000354652,9606.ENSP00000355316,9606.ENSP00000355627,9606.ENSP00000356094,9606.ENSP00000358596,9606.ENSP00000359793,9606.ENSP00000360021,9606.ENSP00000360141,9606.ENSP00000362401,9606.ENSP00000362403,9606.ENSP00000363411,9606.ENSP00000365807,9606.ENSP00000366061,9606.ENSP00000368683,9606.ENSP00000368766,9606.ENSP00000369647,9606.ENSP00000369960,9606.ENSP00000373700,9606.ENSP00000376609,9606.ENSP00000377353,9606.ENSP00000380247,9606.ENSP00000381105,9606.ENSP00000384092,9606.ENSP00000393333,9606.ENSP00000398629,9606.ENSP00000398832,9606.ENSP00000423917,9606.ENSP00000437737,9606.ENSP00000440185,9606.ENSP00000443631,9606.ENSP00000445772,9606.ENSP00000450482,9606.ENSP00000485512	GNA11,BDKRB1,OXT,CCL2,KALRN,CHRM3,HTR2B,THBS1,PLCB2,GNA15,NPFF,UCN2,CRH,CYSLTR2,GNAQ,PTGER1,AVPR1A,GNG8,PTGER4,GRM5,ADRA1B,IL1RAP,TAC1,OXTR,GNG2,ARHGEF25,PLCB1,C5AR1,NPY1R,GRM3,AGT,AVPR1B,DUSP5,PTGFR,GNG12,GNAS,CYSLTR1,TACR2,GNG10,GNA14,NMS,EDN1,ADRA1D,AVP,ADRA1A,ALK,GRK5,DRD1,HRH1,NPS,POMC,TBXA2R,GNG4,AGTR1,NPY5R,HTR2A,PDYN,PLCB3,LTB4R2,BDKRB2,QRFP
HSA-375276	Peptide ligand-binding receptors	22	194	1.49	4.39	8.53e-24	9606.ENSP00000216629,9606.ENSP00000217386,9606.ENSP00000225831,9606.ENSP00000267017,9606.ENSP00000299178,9606.ENSP00000321106,9606.ENSP00000324270,9606.ENSP00000347197,9606.ENSP00000354652,9606.ENSP00000355627,9606.ENSP00000356094,9606.ENSP00000362403,9606.ENSP00000366061,9606.ENSP00000368683,9606.ENSP00000369647,9606.ENSP00000381105,9606.ENSP00000384092,9606.ENSP00000398832,9606.ENSP00000423917,9606.ENSP00000440185,9606.ENSP00000450482,9606.ENSP00000485512	BDKRB1,OXT,CCL2,NPFF,AVPR1A,TAC1,OXTR,C5AR1,NPY1R,AGT,AVPR1B,TACR2,NMS,EDN1,AVP,NPS,POMC,AGTR1,NPY5R,PDYN,BDKRB2,QRFP
HSA-418594	G alpha (i) signalling events	23	309	1.31	3.4	3.70e-21	9606.ENSP00000078429,9606.ENSP00000216629,9606.ENSP00000260402,9606.ENSP00000262958,9606.ENSP00000286548,9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000338185,9606.ENSP00000347197,9606.ENSP00000354652,9606.ENSP00000355316,9606.ENSP00000355627,9606.ENSP00000360021,9606.ENSP00000360141,9606.ENSP00000363411,9606.ENSP00000365807,9606.ENSP00000366061,9606.ENSP00000384092,9606.ENSP00000398629,9606.ENSP00000423917,9606.ENSP00000440185,9606.ENSP00000443631,9606.ENSP00000450482	GNA11,BDKRB1,PLCB2,GNA15,GNAQ,GNG8,GNG2,PLCB1,C5AR1,NPY1R,GRM3,AGT,GNG12,GNAS,GNG10,GNA14,NMS,POMC,GNG4,NPY5R,PDYN,PLCB3,BDKRB2
HSA-422356	Regulation of insulin secretion	14	78	1.69	4.04	4.84e-17	9606.ENSP00000078429,9606.ENSP00000255380,9606.ENSP00000260402,9606.ENSP00000262958,9606.ENSP00000286548,9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000338185,9606.ENSP00000360021,9606.ENSP00000360141,9606.ENSP00000363411,9606.ENSP00000365807,9606.ENSP00000398629,9606.ENSP00000443631	GNA11,CHRM3,PLCB2,GNA15,GNAQ,GNG8,GNG2,PLCB1,GNG12,GNAS,GNG10,GNA14,GNG4,PLCB3
HSA-202040	G-protein activation	11	24	2.1	4.71	5.97e-17	9606.ENSP00000078429,9606.ENSP00000262958,9606.ENSP00000286548,9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000363411,9606.ENSP00000365807,9606.ENSP00000384092,9606.ENSP00000398629,9606.ENSP00000440185	GNA11,GNA15,GNAQ,GNG8,GNG2,GNG12,GNG10,GNA14,POMC,GNG4,PDYN
HSA-111885	Opioid Signalling	14	90	1.63	3.77	2.42e-16	9606.ENSP00000078429,9606.ENSP00000260402,9606.ENSP00000262958,9606.ENSP00000286548,9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000338185,9606.ENSP00000360021,9606.ENSP00000363411,9606.ENSP00000365807,9606.ENSP00000384092,9606.ENSP00000398629,9606.ENSP00000440185,9606.ENSP00000443631	GNA11,PLCB2,GNA15,GNAQ,GNG8,GNG2,PLCB1,GNG12,GNG10,GNA14,POMC,GNG4,PDYN,PLCB3
